"ID1","COUNTY/CNTY_CD","ROUTE_NAME","LOCATION","VENDOR_ID/CVG_VLM_ID","YEAR","FAADT","AADT","MONTH","FAWDT","AWDT","TYPE","LinkID_Tag","Updated LinkID","ID","Daily_Counts","Screenline","Cutline"
4023,"31","SR 1110","S OF SR 2281","3100735",2017,10540,11000,0,10728,11000,"CB","52466",52466,52466,11000,,17
3946,"31","I-85","FROM EXIT 170 TO EXIT 172","3100282",2017,62381,62000,0,66476,66000,"CB","34764",51322,51322,33000,,17
3737,"31","NC 54","N OF SR 1110","3100501",2017,43074,43000,0,43841,44000,"CB","44530",44530,44530,22000,,17
2727,"67","I-40","FROM EXIT 266 TO EXIT 270","6700945",2017,82148,82000,0,87541,88000,"CB","35719",35959,35959,44000,,17
2710,"67","I-40","FROM EXIT 266 TO EXIT 270","6700945",2017,82148,82000,0,87541,88000,"CB","35719",35719,35719,44000,,17
2679,"31","I-85","FROM EXIT 170 TO EXIT 172","3100282",2017,62381,62000,0,66476,66000,"CB","34764",34764,34764,33000,,17
1904,"31","NC 157","N OF SR 2315","3100666",2017,3930,3900,0,4000,4000,"CB","20492",20492,20492,4000,,17
1796,"67","NC 57","N OF SR 1532","6703401",2017,2203,2200,0,2242,2200,"CB","18877",18877,18877,2200,,17
1746,"DURHAM","SR-1470","East of Rougemont Rd","17-14909",,,,,,480,,,18419,18419,480,,17
1649,"67","SR 1716","W OF SR 1309","6700269",2017,1317,1300,0,1340,1300,"CB","17179",17179,17179,1300,,17
1648,"67","NC 751","S OF US 70 BUS","6700284",2017,4770,4800,0,5405,5400,"CB","17178",17178,17178,5400,,17
1647,"67","US 70 BUS","E OF NC 751","6700300",2017,8687,8700,0,9844,9800,"CB","17177",17177,17177,9800,,17
1644,"67","SR 1002","E OF SR 1573","6700911",2017,2625,2600,0,2672,2700,"CB","17170",17170,17170,2700,,17
1601,"31","NC 54","N OF SR 1110","3100501",2017,43074,43000,0,43841,44000,"CB","44530",16745,16745,22000,,17
1483,"DURHAM","SR-2292","S OF I-40","17-14900",,,,,,60000,,,11173,11173,30000,6,17
1329,"67","SR 1718","W OF SR 1803","6700256",2017,2329,2300,0,2370,2400,"CB","10190",10190,10190,2400,,17
1327,"67","SR 1731","W OF SR 1734","6700890",2017,4568,4600,0,4649,4600,"CB","10188",10188,10188,4600,,17
1325,"ORANGE","SR-1734","N OF SAGE RD","17-14819",,,,,,7000,,,10182,10182,7000,6,17
1321,"DURHAM","SR-2292","S OF I-40","17-14900",,,,,,60000,,,10155,10155,30000,6,17
1320,"31","SR 1114","S OF SR 1113 KING RD","3100498",2017,5643,5600,0,5744,5700,"CB","10141",10141,10141,5700,,17
1186,"67","SR 1569","E OF SR 1567","6700905",2017,2180,2200,0,2219,2200,"CB","9559",9559,9559,2200,,17
1074,"31","SR 2220","E OF SR 1207","3100493",2017,10067,10000,0,10246,10000,"GF","9074",9074,9074,10000,6,17
144,"31","SR 1453","N OF SR 1450","3100634",2017,2073,2100,0,2110,2100,"GF","3271",3271,3271,2100,,17
3384,"NASH","SR-1124","Between Taylors Mill Rd and Creech-Johnson Rd","17-10798",,,,,,350,,,40578,40578,350,,16
3100,"63","US 264","W OF SR 1166","6300048",2017,25626,26000,0,26082,26000,"CB","36934",36934,36934,13000,,16
129,"NASH","SR-1120","Between NC 39 and Driver Rd","17-10797",,,,,,790,,,39225,39225,790,,16
128,"NASH","SR-1116","Between Hilliard Rd and Buckhorn Dr","17-10799",,,,,,530,,,39224,39224,530,,16
127,"63","NC 97","W OF SR 1166","6303402",2017,2897,2900,0,2949,2900,"CB","39217",39217,39217,2900,,16
2860,"34","SR 1737","S OF US 64","3409016",2017,1810,1800,0,1842,1800,"CB","36948",36948,36948,1800,,16
125,"JOHNSTON","SR-1733","Between Flower Hill Rd and NC 231","17-13057",,,,,,330,,,36940,36940,330,,16
124,"63","US 264","W OF SR 1166","6300048",2017,25626,26000,0,26082,26000,"CB","36936",36936,36936,13000,,16
123,"NASH","US-264","Between NC 39 and Brantley Rd","17-10796",,,,,,3700,,,36790,36790,3700,,16
3749,"HARNETT","SR-2791","Between Rawls Church Rd. and Oakcliff Ln.","17-14037",,,,,,1800,,,45136,57282,1800,,15
3651,"WAKE","SR-2761","Between Lipscomb Rd. and Dorcester Ln.","17-14045",,,,,,940,,,43577,43577,940,,15
3350,"WAKE","SR-2754","Between Pleasant Memories Ln. and Dorman Ct.","17-14044",,,,,,960,,,40360,40360,960,,15
122,"HARNETT","SR-1412","N  OF SR1415","17-10862",,,,,,2100,,,31377,31377,2100,,15
44,"JOHNSTON","SR-1006","S of Wake/Johnston County Line","17-14046",,,,,,2500,,,26191,26191,2500,,15
121,"HARNETT","SR-1448","Between Rawls Church Rd. and Purfoy Rd.","17-10865",,,,,,3100,,,26139,26139,3100,,15
2486,"HARNETT","SR-1446","Between Rawls Church Rd. and Wexford Drive","17-10866",,,,,,2200,,,26138,26138,2200,,15
120,"WAKE","NC-55","S OF SR 2762","17-14039",,,,,,19000,,,26060,26060,19000,,15
2427,"42","SR 1403","N OF NC 42","4201508",2017,1039,1000,0,1058,1100,"GF","25635",25635,25635,1100,,15
2416,"HARNETT","US-401","North of Rawls Church Rd","17-10864",,,,,,14000,,,25604,25604,14000,,15
117,"WAKE","SR-1119","S OF SR 1122","17-10868",,,,,,1300,,,21581,21581,1300,,15
1652,"HARNETT","NC-42","Between Oakridge Duncan Rd. and OC Hester Rd.","17-10861",,,,,,5400,,,17224,17224,5400,,15
115,"CHATHAM","SR-1724","Between Sun Forest Way and Cub Creek Rd.","17-02505",,,,,,1100,,,36397,36397,1100,,14
114,"ORANGE","SR-1939","Between Damascus Church Rd. and Wolf Tr.","17-03466",,,,,,1500,,,20117,20117,1500,,14
113,"ORANGE","SR-1942","Between Ferguson Rd. and Walnut Branch Rd.","17-14770",,,,,,2300,,,20110,20110,2300,,14
112,"ORANGE","SR-1956","Between Old Greensboro Rd. and Stags Tr.","17-14767",,,,,,570,,,18850,18850,570,,14
111,"ORANGE","SR-1008","Between Mangum Ct. and Whippoorwill Ln.","17-14761",,,,,,9800,,,17143,17143,9800,,14
110,"CHATHAM","US-15","South of Cole Dr","17-03469",,,,,,31000,,,17142,17142,31000,,14
109,"CHATHAM","SR-1726","E OF SR 1008","17-02506",,,,,,5300,,,9851,9851,5300,,14
108,"ORANGE","SR-1951","S OF SR 1005","17-14769",,,,,,1300,,,9737,9737,1300,,14
107,"ORANGE",,"North of Old Legacy Ln","17-03468",,,,,,7500,,,3495,3495,7500,,14
4200,"WAKE","SR-1007","Between I-440 and Old Poole Rd","17-14119",,,,,,36000,,,54789,54789,36000,,13
4046,"WAKE","SR-2700","E of Battlefield Dr. W OF I-40","17-14028",,,,,,9800,,,53072,53072,9800,6,13
3895,"WAKE","I-40","Between exit 301 and exit 303","17-05499",,,,,,128000,,,50461,50461,64000,,13
3894,"WAKE","I-40","Between exit 301 and exit 303","17-05499",,,,,,128000,,,50455,50455,64000,,13
